Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	1.186266	1.022195	79.330142	87.603871	0.000000	
0.001000	0.833932	0.825509	98.106308	92.868413	87.603871	
0.001000	0.799498	0.829978	99.017824	92.205743	92.868413	
0.001000	0.782695	0.795008	99.351693	92.868413	92.868413	
0.001000	0.775881	0.814276	99.570740	93.399600	92.868413	
0.001000	0.771403	0.841581	99.637867	93.031451	93.399600	
0.000500	0.755141	0.850391	99.909908	92.158410	93.399600	
0.000500	0.752107	0.811995	99.954071	92.926265	93.399600	
0.000250	0.749149	0.847189	99.975269	92.573893	93.399600	
0.000250	0.748383	0.856450	99.980568	92.679079	93.399600	
