Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	0.655396	0.834375	85.005421	94.253736	0.000000	
0.001000	0.380427	0.841537	97.875073	94.799700	94.253736	
0.001000	0.350417	0.767454	98.927529	94.983962	94.799700	
0.001000	0.339629	0.801856	99.246101	95.345663	94.983962	
0.001000	0.330408	0.779676	99.459595	95.598171	95.345663	
0.001000	0.325976	0.800857	99.608039	94.792875	95.598171	
0.000500	0.314161	0.772961	99.849887	95.325189	95.598171	
0.000500	0.311357	0.755916	99.924944	96.021293	95.598171	
0.000250	0.309153	0.795964	99.961638	95.250119	96.021293	
0.000250	0.308342	0.817959	99.971645	94.547192	96.021293	
