Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	0.661328	0.930536	84.666833	91.503446	0.000000	
0.001000	0.378876	0.825959	97.931782	91.496622	91.503446	
0.001000	0.352309	0.727090	98.787424	96.041766	91.503446	
0.001000	0.339108	0.714745	99.242765	94.547192	96.041766	
0.001000	0.335252	0.770925	99.344508	95.413908	96.041766	
0.001000	0.328048	0.773377	99.536319	94.915717	96.041766	
0.000500	0.315137	0.794474	99.846552	94.594963	96.041766	
0.000500	0.312090	0.777459	99.916604	94.867945	96.041766	
0.000250	0.309909	0.765127	99.951630	95.236470	96.041766	
0.000250	0.309285	0.775909	99.958302	95.052208	96.041766	
