Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	0.533899	1.348749	72.081322	94.096021	0.000000	
0.001000	0.124125	0.980178	95.553465	93.479671	94.096021	
0.001000	0.092036	0.954118	96.682484	97.339965	94.096021	
0.001000	0.074713	0.882293	97.471979	95.534170	97.339965	
0.001000	0.065685	1.126189	97.713327	97.913062	97.339965	
0.001000	0.058896	0.779062	97.975129	97.069637	97.913062	
0.000500	0.044913	0.581748	98.527366	98.367215	97.913062	
0.000500	0.038956	0.623600	98.752352	97.199394	98.367215	
0.000250	0.031170	0.480243	99.014154	98.432093	98.367215	
0.000250	0.029222	0.489139	99.095967	98.291522	98.432093	
