Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	1.203242	0.870583	78.135985	90.570106	0.000000	
0.001000	0.831798	0.809597	98.111608	92.931524	90.570106	
0.001000	0.796415	0.783551	99.017824	92.331966	92.931524	
0.001000	0.782066	0.857410	99.387023	91.227517	92.931524	
0.001000	0.775157	0.813694	99.540709	91.132849	92.931524	
0.001000	0.770537	0.853932	99.602537	90.922478	92.931524	
0.000500	0.755510	0.830662	99.878111	92.347744	92.931524	
0.000500	0.751891	0.783232	99.943472	93.846639	92.931524	
0.000250	0.748472	0.831934	99.962903	93.120858	93.846639	
0.000250	0.747791	0.838078	99.975269	92.884191	93.846639	
