Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	1.989773	1.329583	85.333333	92.360000	0.000000	
0.001000	1.848259	1.288491	95.881720	93.060000	92.360000	
0.001000	1.815415	1.250200	97.464158	93.730000	93.060000	
0.001000	1.797088	1.248608	98.374552	93.680000	93.730000	
0.001000	1.784923	1.228747	98.906810	93.890000	93.730000	
0.001000	1.776020	1.223650	99.209677	93.730000	93.890000	
0.000500	1.767498	1.214618	99.453405	93.830000	93.890000	
0.000500	1.764349	1.221966	99.537634	93.750000	93.890000	
0.000250	1.760587	1.225524	99.646953	93.760000	93.890000	
0.000250	1.759223	1.229205	99.673835	93.740000	93.890000	
