Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	0.372768	0.621612	98.398973	99.350493	0.000000	
0.001000	0.321952	0.590786	99.816363	99.446716	99.350493	
0.001000	0.315759	0.577723	99.917987	99.446716	99.446716	
0.001000	0.313005	0.538552	99.964342	99.494828	99.446716	
0.001000	0.311935	0.554918	99.989303	99.422661	99.494828	
0.001000	0.310692	0.565816	99.994651	99.542940	99.494828	
0.000500	0.309707	0.595950	99.998217	99.518884	99.542940	
0.000500	0.309435	0.604692	99.998217	99.542940	99.542940	
0.000250	0.309163	0.631739	99.998217	99.566995	99.542940	
0.000250	0.309055	0.624798	99.998217	99.566995	99.566995	
