Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	0.049496	0.049200	98.760363	99.905437	0.000000	
0.001000	0.004333	0.062642	99.889459	99.952719	99.905437	
0.001000	0.002765	0.055819	99.913146	99.952719	99.952719	
0.001000	0.001259	0.042516	99.968417	99.952719	99.952719	
0.001000	0.000648	0.035672	99.976313	99.952719	99.952719	
0.001000	0.000236	0.023681	100.000000	99.952719	99.952719	
0.000500	0.000088	0.021008	100.000000	99.952719	99.952719	
0.000500	0.000057	0.017579	100.000000	99.952719	99.952719	
0.000250	0.000040	0.017018	100.000000	99.952719	99.952719	
0.000250	0.000036	0.016230	100.000000	99.952719	99.952719	
