Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	0.978336	0.819075	92.924742	96.617476	0.000000	
0.001000	0.844857	0.774873	97.862946	97.148068	96.617476	
0.001000	0.816342	0.754643	99.001140	97.778146	97.148068	
0.001000	0.801062	0.752898	99.478856	97.877632	97.778146	
0.001000	0.790230	0.733800	99.654380	97.960537	97.877632	
0.001000	0.783387	0.734616	99.757523	98.159509	97.960537	
0.000500	0.777426	0.734400	99.813619	98.275576	98.159509	
0.000500	0.774868	0.741741	99.853428	98.358481	98.275576	
0.000250	0.772406	0.744535	99.873333	98.275576	98.358481	
0.000250	0.771382	0.741805	99.887809	98.275576	98.358481	
