Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	0.671079	1.150373	84.277778	79.700000	0.000000	
0.001000	0.482798	1.104899	93.253704	83.350000	79.700000	
0.001000	0.426858	1.093527	95.585185	83.900000	83.350000	
0.001000	0.395464	0.968444	96.927778	86.075000	83.900000	
0.001000	0.379625	1.023625	97.531481	85.650000	86.075000	
0.001000	0.365739	0.878066	98.090741	87.100000	86.075000	
0.000500	0.335062	0.991005	99.242593	86.625000	87.100000	
0.000500	0.327855	0.984766	99.524074	85.575000	87.100000	
0.000250	0.318960	0.970718	99.831481	86.925000	87.100000	
0.000250	0.316314	0.975569	99.907407	87.850000	87.100000	
