Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.001000	1.379852	1.498521	68.262963	60.500000	0.000000	
0.001000	1.034676	1.334597	89.407407	69.600000	60.500000	
0.001000	0.906581	1.484207	95.285185	63.483333	69.600000	
0.001000	0.855415	1.459255	96.964815	65.683333	69.600000	
0.001000	0.835202	1.362445	97.540741	68.116667	69.600000	
0.001000	0.814407	1.344533	98.298148	70.633333	69.600000	
0.000500	0.773161	1.377466	99.572222	68.866667	70.633333	
0.000500	0.765980	1.370826	99.775926	69.400000	70.633333	
0.000250	0.757199	1.353511	99.951852	69.633333	70.633333	
